Apple Revenue,iPhone,Accessories,Mac,iPad,iPod,Services
2007,$0.1B,$1.2B,$10.3B,-,$8.3B,$4.0B
2008,$1.8B,$1.6B,$14.2B,-,$9.1B,$5.5B
2009,$13.0B,$1.4B,$13.8B,-,$8.0B,$6.4B
2010,$25.2B,$1.8B,$17.5B,$4.9B,$8.3B,$7.5B
2011,$47.0B,$2.3B,$21.8B,$20.4B,$7.4B,$9.7B
2012,$80.5B,$2.8B,$23.2B,$32.4B,$5.6B,$11.9B
2013,$91.8B,$5.7B,$21.5B,$31.9B,$4.4B,$16.0B
2014,$101.9B,$6.1B,$24.1B,$30.3B,$2.3B,$18.1B
2015,$155.0B,$10.1B,$25.5B,$23.2B,-,$19.9B
2016,$136.7B,$11.1B,$22.8B,$20.7B,-,$24.5B
2017,$141.3B,$12.9B,$25.8B,$19.2B,-,$29.9B
2018,$166.7B,$17.4B,$25.5B,$18.8B,-,$37.1B
2019,$142.3B,$24.5B,$25.7B,$21.2B,-,$46.3B
2020,$137.8B,$30.6B,$28.6B,$23.7B,-,$53.7B
2021,$191.9B,$38.4B,$35.1B,$31.9B,-,$68.4B
2022,$205.5B,$41.2B,$40.2B,$29.3B,-,$78.1B
2023,$200.6B,$39.8B,$29.3B,$28.3B,-,$85.2B
